version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,England
info,gender,male
info,season,2025/26
info,date,2026/02/01
info,event,England tour of Sri Lanka
info,match_number,2
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,England
info,toss_decision,field
info,player_of_match,T Banton
info,umpire,IC Soysa
info,umpire,RA Kottahachchi
info,reserve_umpire,JWHD Boteju
info,tv_umpire,N Perera
info,match_referee,V Narayan Kutty
info,winner,England
info,winner_wickets,6
info,method,D/L
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,K Mishara
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,P Rathnayake
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,J Liyanage
info,player,Sri Lanka,DN Wellalage
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Pathirana
info,player,Sri Lanka,E Malinga
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,JG Bethell
info,player,England,T Banton
info,player,England,HC Brook
info,player,England,SM Curran
info,player,England,WG Jacks
info,player,England,J Overton
info,player,England,AU Rashid
info,player,England,LA Dawson
info,player,England,JC Archer
info,registry,people,AU Rashid,249d60c9
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,DN Wellalage,736123bb
info,registry,people,E Malinga,5750bcb4
info,registry,people,HC Brook,4ae1755b
info,registry,people,IC Soysa,717a7971
info,registry,people,J Liyanage,84212ffb
info,registry,people,J Overton,59559bc2
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,JWHD Boteju,7934d6fb
info,registry,people,K Mishara,65cebd5d
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LA Dawson,4a461c24
ball,1,10.3,Sri Lanka,K Mishara,BKG Mendis,WG Jacks,1,0,,,,,,"",""
ball,1,10.4,Sri Lanka,BKG Mendis,K Mishara,WG Jacks,1,0,,,,,,"",""
ball,1,10.5,Sri Lanka,K Mishara,BKG Mendis,WG Jacks,0,0,,,,,,"",""
ball,1,10.6,Sri Lanka,K Mishara,BKG Mendis,WG Jacks,0,0,,,,,,caught,K Mishara
ball,1,11.1,Sri Lanka,BKG Mendis,P Rathnayake,J Overton,0,1,1,,,,,"",""
ball,1,11.2,Sri Lanka,BKG Mendis,P Rathnayake,J Overton,6,0,,,,,,"",""
ball,1,11.3,Sri Lanka,BKG Mendis,P Rathnayake,J Overton,1,0,,,,,,"",""
ball,1,11.4,Sri Lanka,P Rathnayake,BKG Mendis,J Overton,6,0,,,,,,"",""
ball,1,11.5,Sri Lanka,P Rathnayake,BKG Mendis,J Overton,4,0,,,,,,"",""
ball,1,11.6,Sri Lanka,P Rathnayake,BKG Mendis,J Overton,2,0,,,,,,"",""
ball,1,11.7,Sri Lanka,P Rathnayake,BKG Mendis,J Overton,1,0,,,,,,"",""
ball,1,12.1,Sri Lanka,P Rathnayake,BKG Mendis,LA Dawson,1,0,,,,,,"",""
ball,1,12.2,Sri Lanka,BKG Mendis,P Rathnayake,LA Dawson,0,0,,,,,,caught,BKG Mendis
ball,1,12.3,Sri Lanka,MD Shanaka,P Rathnayake,LA Dawson,0,0,,,,,,"",""
ball,1,12.4,Sri Lanka,MD Shanaka,P Rathnayake,LA Dawson,1,0,,,,,,"",""
ball,1,12.5,Sri Lanka,P Rathnayake,MD Shanaka,LA Dawson,1,0,,,,,,"",""
ball,1,12.6,Sri Lanka,MD Shanaka,P Rathnayake,LA Dawson,0,0,,,,,,"",""
ball,1,13.1,Sri Lanka,P Rathnayake,MD Shanaka,AU Rashid,1,0,,,,,,"",""
ball,1,13.2,Sri Lanka,MD Shanaka,P Rathnayake,AU Rashid,0,0,,,,,,"",""
ball,1,13.3,Sri Lanka,MD Shanaka,P Rathnayake,AU Rashid,0,0,,,,,,"",""
ball,1,13.4,Sri Lanka,MD Shanaka,P Rathnayake,AU Rashid,0,0,,,,,,lbw,MD Shanaka
ball,1,13.5,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,0,0,,,,,,"",""
ball,1,13.6,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,0,1,,,,1,,"",""
ball,1,14.1,Sri Lanka,KIC Asalanka,P Rathnayake,WG Jacks,0,0,,,,,,"",""
ball,1,14.2,Sri Lanka,KIC Asalanka,P Rathnayake,WG Jacks,1,0,,,,,,"",""
ball,1,14.3,Sri Lanka,P Rathnayake,KIC Asalanka,WG Jacks,0,0,,,,,,"",""
ball,1,14.4,Sri Lanka,P Rathnayake,KIC Asalanka,WG Jacks,4,0,,,,,,"",""
ball,1,14.5,Sri Lanka,P Rathnayake,KIC Asalanka,WG Jacks,1,0,,,,,,"",""
ball,1,14.6,Sri Lanka,KIC Asalanka,P Rathnayake,WG Jacks,1,0,,,,,,"",""
ball,1,15.1,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,0,0,,,,,,"",""
ball,1,15.2,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,1,0,,,,,,"",""
ball,1,15.3,Sri Lanka,P Rathnayake,KIC Asalanka,AU Rashid,1,0,,,,,,"",""
ball,1,15.4,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,2,0,,,,,,"",""
ball,1,15.5,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,0,0,,,,,,"",""
ball,1,15.6,Sri Lanka,KIC Asalanka,P Rathnayake,AU Rashid,1,0,,,,,,"",""
ball,1,16.1,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,1,0,,,,,,"",""
ball,1,16.2,Sri Lanka,P Rathnayake,KIC Asalanka,JC Archer,1,0,,,,,,"",""
ball,1,16.3,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,4,0,,,,,,"",""
ball,1,16.4,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,4,0,,,,,,"",""
ball,1,16.5,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,4,0,,,,,,"",""
ball,1,16.6,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,1,0,,,,,,"",""
ball,1,17.1,Sri Lanka,KIC Asalanka,P Rathnayake,LA Dawson,1,0,,,,,,"",""
ball,1,17.2,Sri Lanka,P Rathnayake,KIC Asalanka,LA Dawson,0,0,,,,,,"",""
ball,1,17.3,Sri Lanka,P Rathnayake,KIC Asalanka,LA Dawson,4,0,,,,,,"",""
ball,1,17.4,Sri Lanka,P Rathnayake,KIC Asalanka,LA Dawson,1,0,,,,,,"",""
ball,1,17.5,Sri Lanka,KIC Asalanka,P Rathnayake,LA Dawson,1,0,,,,,,"",""
ball,1,17.6,Sri Lanka,P Rathnayake,KIC Asalanka,LA Dawson,1,0,,,,,,"",""
ball,1,18.1,Sri Lanka,P Rathnayake,KIC Asalanka,SM Curran,1,0,,,,,,"",""
ball,1,18.2,Sri Lanka,KIC Asalanka,P Rathnayake,SM Curran,4,0,,,,,,"",""
ball,1,18.3,Sri Lanka,KIC Asalanka,P Rathnayake,SM Curran,1,0,,,,,,"",""
ball,1,18.4,Sri Lanka,P Rathnayake,KIC Asalanka,SM Curran,4,0,,,,,,"",""
ball,1,18.5,Sri Lanka,P Rathnayake,KIC Asalanka,SM Curran,0,1,1,,,,,"",""
ball,1,18.6,Sri Lanka,P Rathnayake,KIC Asalanka,SM Curran,2,0,,,,,,"",""
ball,1,18.7,Sri Lanka,P Rathnayake,KIC Asalanka,SM Curran,4,0,,,,,,"",""
ball,1,19.1,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,0,1,,,,1,,"",""
ball,1,19.2,Sri Lanka,P Rathnayake,KIC Asalanka,JC Archer,0,1,,,1,,,"",""
ball,1,19.3,Sri Lanka,KIC Asalanka,P Rathnayake,JC Archer,1,0,,,,,,"",""
ball,1,19.4,Sri Lanka,P Rathnayake,KIC Asalanka,JC Archer,0,0,,,,,,caught,P Rathnayake
ball,1,19.5,Sri Lanka,J Liyanage,KIC Asalanka,JC Archer,1,0,,,,,,"",""
ball,1,19.6,Sri Lanka,KIC Asalanka,J Liyanage,JC Archer,0,1,,,,1,,"",""
ball,2,0.1,England,PD Salt,JC Buttler,M Pathirana,1,0,,,,,,"",""
ball,2,0.2,England,JC Buttler,PD Salt,M Pathirana,4,0,,,,,,"",""
ball,2,0.3,England,JC Buttler,PD Salt,M Pathirana,4,0,,,,,,"",""
ball,2,0.4,England,JC Buttler,PD Salt,M Pathirana,0,0,,,,,,"",""
ball,2,0.5,England,JC Buttler,PD Salt,M Pathirana,1,0,,,,,,"",""
ball,2,0.6,England,PD Salt,JC Buttler,M Pathirana,0,0,,,,,,caught,PD Salt
ball,2,1.1,England,JC Buttler,JG Bethell,MD Shanaka,1,0,,,,,,"",""
ball,2,1.2,England,JG Bethell,JC Buttler,MD Shanaka,1,0,,,,,,"",""
ball,2,1.3,England,JC Buttler,JG Bethell,MD Shanaka,0,0,,,,,,"",""
