date,venue,toss_winner,winner,team1,team2,toss_match_winner,venue_avg
2025-02-23,Harare Sports Club,Zimbabwe,Zimbabwe,Ireland,Zimbabwe,1,0.6
2025-03-16,"""Hagley Oval",New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2025-03-18,"""University Oval",New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2025-03-19,"""Namibia Cricket Ground",Namibia,Namibia,Canada,Namibia,1,0.6
2025-03-21,"""Eden Park",Pakistan,Pakistan,New Zealand,Pakistan,1,0.6
2025-03-22,"""Namibia Cricket Ground",Canada,Namibia,Canada,Namibia,0,0.6
2025-03-23,"""Namibia Cricket Ground",Namibia,Namibia,Canada,Namibia,1,0.6
2025-03-23,"""Bay Oval",Pakistan,New Zealand,New Zealand,Pakistan,0,0.6
2025-03-26,"""Sky Stadium",New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2025-06-06,"""Riverside Ground",England,England,England,West Indies,1,0.6
2025-06-08,"""County Ground",England,England,West Indies,England,1,0.6
2025-06-10,"""The Rose Bowl",West Indies,England,England,West Indies,0,0.6
2025-06-15,"""Titwood",Netherlands,Scotland,Scotland,Netherlands,0,0.6
2025-06-15,"""Bready Cricket Club",Ireland,West Indies,West Indies,Ireland,0,0.6
2025-06-17,"""Titwood",Nepal,Nepal,Scotland,Nepal,1,0.6
2025-06-18,"""Titwood",Scotland,Netherlands,Netherlands,Scotland,0,0.6
2025-06-19,"""Titwood",Nepal,Nepal,Netherlands,Nepal,1,0.6
2025-06-20,"""Titwood",Scotland,Scotland,Scotland,Nepal,1,0.6
2025-07-08,"""Sportpark Westvliet",Scotland,Scotland,Scotland,Netherlands,1,0.6
2025-07-09,"""Sportpark Westvliet",Italy,Italy,Italy,Scotland,1,0.6
2025-07-11,"""Sportpark Westvliet",Italy,Netherlands,Italy,Netherlands,0,0.6
2025-07-14,Harare Sports Club,South Africa,South Africa,Zimbabwe,South Africa,1,0.6
2025-07-16,Harare Sports Club,South Africa,New Zealand,New Zealand,South Africa,0,0.6
2025-07-18,Harare Sports Club,New Zealand,New Zealand,Zimbabwe,New Zealand,1,0.6
2025-07-20,Harare Sports Club,South Africa,South Africa,Zimbabwe,South Africa,1,0.6
2025-07-20,"""Sabina Park",Australia,Australia,West Indies,Australia,1,0.6
2025-07-22,"""Sabina Park",Australia,Australia,West Indies,Australia,1,0.6
2025-07-22,Harare Sports Club,New Zealand,New Zealand,South Africa,New Zealand,1,0.6
2025-07-24,Harare Sports Club,New Zealand,New Zealand,New Zealand,Zimbabwe,1,0.6
2025-07-25,"""Warner Park",Australia,Australia,West Indies,Australia,1,0.6
2025-07-26,"""Warner Park",Australia,Australia,West Indies,Australia,1,0.6
2025-07-26,Harare Sports Club,South Africa,New Zealand,New Zealand,South Africa,0,0.6
2025-07-28,"""Warner Park",Australia,Australia,West Indies,Australia,1,0.6
2025-07-31,"""Central Broward Regional Park Stadium Turf Ground",West Indies,Pakistan,Pakistan,West Indies,0,0.6
2025-08-02,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,West Indies,Pakistan,West Indies,0,0.6
2025-08-03,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,Pakistan,Pakistan,West Indies,1,0.6
2025-08-10,"""Marrara Stadium",South Africa,Australia,Australia,South Africa,0,0.6
2025-08-12,"""Marrara Stadium",Australia,South Africa,South Africa,Australia,0,0.6
2025-08-16,"""Cazaly's Stadium",Australia,Australia,South Africa,Australia,1,0.6
2025-08-30,Sharjah Cricket Stadium,Pakistan,Pakistan,Pakistan,United Arab Emirates,1,0.6
2025-09-03,Harare Sports Club,Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka,1,0.6
2025-09-04,Sharjah Cricket Stadium,Pakistan,Pakistan,Pakistan,United Arab Emirates,1,0.6
2025-09-06,Harare Sports Club,Zimbabwe,Zimbabwe,Sri Lanka,Zimbabwe,1,0.6
2025-09-07,Harare Sports Club,Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka,1,0.6
2025-09-10,Dubai International Cricket Stadium,India,India,United Arab Emirates,India,1,0.6
2025-09-10,"""Sophia Gardens",England,South Africa,South Africa,England,0,0.6
2025-09-12,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Oman,1,0.6
2025-09-12,"""Old Trafford",South Africa,England,England,South Africa,0,0.6
2025-09-14,Dubai International Cricket Stadium,Pakistan,India,Pakistan,India,0,0.6
2025-09-15,"""Zayed Cricket Stadium",Oman,United Arab Emirates,United Arab Emirates,Oman,0,0.6
2025-09-15,"""Queens Sports Club",Namibia,Zimbabwe,Zimbabwe,Namibia,0,0.6
2025-09-16,"""Queens Sports Club",Zimbabwe,Zimbabwe,Namibia,Zimbabwe,1,0.6
2025-09-17,Dubai International Cricket Stadium,United Arab Emirates,Pakistan,Pakistan,United Arab Emirates,0,0.6
2025-09-17,"""The Village",England,England,Ireland,England,1,0.6
2025-09-18,"""Queens Sports Club",Namibia,Namibia,Namibia,Zimbabwe,1,0.6
2025-09-19,"""Zayed Cricket Stadium",India,India,India,Oman,1,0.6
2025-09-21,Dubai International Cricket Stadium,India,India,Pakistan,India,1,0.6
2025-09-21,"""The Village",England,England,Ireland,England,1,0.6
2025-09-23,"""Zayed Cricket Stadium",Pakistan,Pakistan,Sri Lanka,Pakistan,1,0.6
2025-09-27,Sharjah Cricket Stadium,West Indies,Nepal,Nepal,West Indies,0,0.6
2025-09-28,Dubai International Cricket Stadium,India,India,Pakistan,India,1,0.6
2025-09-29,Sharjah Cricket Stadium,Nepal,Nepal,Nepal,West Indies,1,0.6
2025-09-30,Sharjah Cricket Stadium,West Indies,West Indies,Nepal,West Indies,1,0.6
2025-10-01,"""Bay Oval",Australia,Australia,New Zealand,Australia,1,0.6
2025-10-04,Harare Sports Club,Zimbabwe,Zimbabwe,Namibia,Zimbabwe,1,0.6
2025-10-04,"""Bay Oval",Australia,Australia,New Zealand,Australia,1,0.6
2025-10-11,"""Namibia Cricket Ground",South Africa,Namibia,South Africa,Namibia,0,0.6
2025-10-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Nepal,United Arab Emirates,1,0.6
2025-10-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Oman,United Arab Emirates,Oman,0,0.6
2025-10-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Nepal,Oman,1,0.6
2025-10-20,"""Hagley Oval",New Zealand,England,England,New Zealand,0,0.6
2025-10-28,Rawalpindi Cricket Stadium,Pakistan,South Africa,South Africa,Pakistan,0,0.6
2025-10-31,Melbourne Cricket Ground,Australia,Australia,India,Australia,1,0.6
2025-10-31,"""Gaddafi Stadium",Pakistan,Pakistan,South Africa,Pakistan,1,0.6
2025-11-01,"""Gaddafi Stadium",Pakistan,Pakistan,South Africa,Pakistan,1,0.6
2025-11-02,"""Bellerive Oval",India,India,Australia,India,1,0.6
2025-11-05,"""Eden Park",New Zealand,West Indies,West Indies,New Zealand,0,0.6
2025-11-06,"""Eden Park",West Indies,New Zealand,New Zealand,West Indies,0,0.6
2025-11-06,Carrara Oval,Australia,India,India,Australia,0,0.6
2025-11-09,"""Saxton Oval",New Zealand,New Zealand,New Zealand,West Indies,1,0.6
2025-11-13,"""University Oval",New Zealand,New Zealand,West Indies,New Zealand,1,0.6
2025-11-16,"""West End Park International Cricket Stadium",United Arab Emirates,Oman,United Arab Emirates,Oman,0,0.6
2025-11-18,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Zimbabwe,Pakistan,1,0.6
2025-11-20,Rawalpindi Cricket Stadium,Sri Lanka,Zimbabwe,Zimbabwe,Sri Lanka,0,0.6
2025-11-22,Rawalpindi Cricket Stadium,Sri Lanka,Pakistan,Sri Lanka,Pakistan,0,0.6
2025-11-23,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Pakistan,Zimbabwe,1,0.6
2025-11-25,Rawalpindi Cricket Stadium,Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,0,0.6
2025-11-27,Rawalpindi Cricket Stadium,Pakistan,Sri Lanka,Sri Lanka,Pakistan,0,0.6
2025-11-29,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan,1,0.6
2025-12-09,"""Barabati Stadium",South Africa,India,India,South Africa,0,0.6
2025-12-11,"""Maharaja Yadavindra Singh International Cricket Stadium",India,South Africa,South Africa,India,0,0.6
2025-12-14,"""Himachal Pradesh Cricket Association Stadium",India,India,South Africa,India,1,0.6
2025-12-19,"""Narendra Modi Stadium",South Africa,India,India,South Africa,0,0.6
2026-01-07,Rangiri Dambulla International Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan,1,0.6
2026-01-11,Rangiri Dambulla International Stadium,Pakistan,Sri Lanka,Sri Lanka,Pakistan,0,0.6
2026-01-21,"""Vidarbha Cricket Association Stadium",New Zealand,India,India,New Zealand,0,0.6
2026-01-23,"""Shaheed Veer Narayan Singh International Stadium",India,India,New Zealand,India,1,0.6
2026-01-23,"""7he Sevens Stadium",Ireland,Ireland,Italy,Ireland,1,0.6
2026-01-25,"""Barsapara Cricket Stadium",India,India,New Zealand,India,1,0.6
2026-01-25,"""7he Sevens Stadium",Italy,Ireland,Ireland,Italy,0,0.6
2026-01-26,"""7he Sevens Stadium",Italy,Italy,Ireland,Italy,1,0.6
2026-01-27,"""Boland Park",South Africa,South Africa,West Indies,South Africa,1,0.6
2026-01-28,"""Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",India,New Zealand,New Zealand,India,0,0.6
2026-01-29,"""SuperSport Park",South Africa,South Africa,West Indies,South Africa,1,0.6
2026-01-29,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,Australia,1,0.6
2026-01-29,Dubai International Cricket Stadium,Ireland,Ireland,Ireland,United Arab Emirates,1,0.6
2026-01-30,Pallekele International Cricket Stadium,England,England,Sri Lanka,England,1,0.6
2026-01-31,"""The Wanderers Stadium",South Africa,West Indies,West Indies,South Africa,0,0.6
2026-01-31,"""Greenfield International Stadium",India,India,India,New Zealand,1,0.6
2026-01-31,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,Australia,1,0.6
2026-01-31,Dubai International Cricket Stadium,United Arab Emirates,Ireland,Ireland,United Arab Emirates,0,0.6
2026-02-01,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,Australia,1,0.6
2026-02-01,Pallekele International Cricket Stadium,England,England,Sri Lanka,England,1,0.6
2026-02-03,Pallekele International Cricket Stadium,England,England,England,Sri Lanka,1,0.6
