date,venue,toss_winner,winner,team1,team2
2010-05-13,"""Beausejour Stadium",Sri Lanka,England,England,Sri Lanka
2010-05-14,"""Beausejour Stadium",Australia,Australia,Australia,Pakistan
2010-05-16,"""Kensington Oval",England,England,Australia,England
2010-05-19,"""Sir Vivian Richards Stadium",West Indies,South Africa,West Indies,South Africa
2010-05-20,"""Sir Vivian Richards Stadium",West Indies,South Africa,West Indies,South Africa
2010-05-22,Central Broward Regional Park Stadium Turf Ground,New Zealand,New Zealand,New Zealand,Sri Lanka
2010-05-23,Central Broward Regional Park Stadium Turf Ground,New Zealand,Sri Lanka,New Zealand,Sri Lanka
2010-06-12,Harare Sports Club,India,India,Zimbabwe,India
2010-06-13,Harare Sports Club,India,India,Zimbabwe,India
2010-07-05,Edgbaston,Pakistan,Pakistan,Australia,Pakistan
2010-07-06,Edgbaston,Pakistan,Pakistan,Australia,Pakistan
2010-09-05,Sophia Gardens,England,England,England,Pakistan
2010-09-07,Sophia Gardens,Pakistan,England,England,Pakistan
2010-10-08,OUTsurance Oval,Zimbabwe,South Africa,South Africa,Zimbabwe
2010-10-10,De Beers Diamond Oval,South Africa,South Africa,South Africa,Zimbabwe
2010-10-26,Sheikh Zayed Stadium,Pakistan,South Africa,Pakistan,South Africa
2010-10-27,Sheikh Zayed Stadium,Pakistan,South Africa,Pakistan,South Africa
2010-10-31,Western Australia Cricket Association Ground,Australia,Sri Lanka,Australia,Sri Lanka
2010-12-26,Eden Park,New Zealand,New Zealand,New Zealand,Pakistan
2010-12-28,Seddon Park,Pakistan,New Zealand,New Zealand,Pakistan
2010-12-30,AMI Stadium,Pakistan,Pakistan,New Zealand,Pakistan
2011-01-09,Moses Mabhida Stadium,India,India,South Africa,India
2011-01-12,Adelaide Oval,Australia,England,Australia,England
2011-01-14,Melbourne Cricket Ground,Australia,Australia,Australia,England
2011-04-21,"""Beausejour Stadium",West Indies,West Indies,West Indies,Pakistan
2011-06-04,"""Queen's Park Oval",West Indies,India,West Indies,India
2011-06-25,County Ground,Sri Lanka,Sri Lanka,England,Sri Lanka
2011-08-06,Pallekele International Cricket Stadium,Australia,Sri Lanka,Sri Lanka,Australia
2011-08-08,Pallekele International Cricket Stadium,Sri Lanka,Sri Lanka,Sri Lanka,Australia
2011-08-31,Old Trafford,India,England,England,India
2011-09-16,Harare Sports Club,Zimbabwe,Pakistan,Zimbabwe,Pakistan
2011-09-18,Harare Sports Club,Pakistan,Pakistan,Zimbabwe,Pakistan
2011-09-23,Kennington Oval,England,England,England,West Indies
2011-09-25,Kennington Oval,England,West Indies,England,West Indies
2011-10-11,Shere Bangla National Stadium,Bangladesh,Bangladesh,Bangladesh,West Indies
2011-10-13,Newlands,South Africa,Australia,South Africa,Australia
2011-10-15,Harare Sports Club,New Zealand,New Zealand,Zimbabwe,New Zealand
