date,venue,toss_winner,winner,team1,team2
2023-03-29,"""Zahur Ahmed Chowdhury Stadium",Ireland,Bangladesh,Bangladesh,Ireland
2023-03-31,"""Zahur Ahmed Chowdhury Stadium",Bangladesh,Ireland,Bangladesh,Ireland
2023-04-05,"""University Oval",New Zealand,New Zealand,Sri Lanka,New Zealand
2023-04-08,"""John Davies Oval",New Zealand,New Zealand,Sri Lanka,New Zealand
2023-04-10,Santarem Cricket Ground,Portugal,Portugal,Portugal,Gibraltar
2023-04-11,Santarem Cricket Ground,Gibraltar,Portugal,Gibraltar,Portugal
2023-04-11,Santarem Cricket Ground,Gibraltar,Portugal,Gibraltar,Portugal
2023-04-14,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,New Zealand
2023-04-15,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,New Zealand
2023-04-17,"""Gaddafi Stadium",New Zealand,New Zealand,New Zealand,Pakistan
2023-04-24,Rawalpindi Cricket Stadium,New Zealand,New Zealand,Pakistan,New Zealand
2023-05-04,Europa Sports Complex,Malta,Portugal,Portugal,Malta
2023-05-04,Europa Sports Complex,Gibraltar,Portugal,Gibraltar,Portugal
2023-05-05,Europa Sports Complex,Portugal,Portugal,Portugal,Malta
2023-05-05,Europa Sports Complex,Gibraltar,Gibraltar,Gibraltar,Malta
2023-05-06,Europa Sports Complex,Gibraltar,Portugal,Gibraltar,Portugal
2023-05-06,Europa Sports Complex,Gibraltar,Gibraltar,Gibraltar,Malta
2023-05-06,Europa Sports Complex,Malta,Portugal,Malta,Portugal
2023-05-07,Europa Sports Complex,Malta,Malta,Malta,Gibraltar
2023-05-07,Europa Sports Complex,Gibraltar,Portugal,Gibraltar,Portugal
2023-05-18,"""Svanholm Park",Denmark,Denmark,Denmark,Finland
2023-05-18,"""Svanholm Park",Norway,Denmark,Norway,Denmark
2023-05-19,"""Svanholm Park",Finland,Denmark,Finland,Denmark
2023-05-19,"""Svanholm Park",Sweden,Sweden,Denmark,Sweden
2023-05-20,"""Solvangs Park",Finland,Norway,Finland,Norway
2023-06-10,"""Gymkhana Club Ground",Kenya,Kenya,Kenya,Uganda
2023-06-10,Bayer Uerdingen Cricket Ground,Germany,Germany,Belgium,Germany
2023-06-11,"""Gymkhana Club Ground",Rwanda,Uganda,Rwanda,Uganda
2023-06-11,"""Gymkhana Club Ground",Botswana,Kenya,Botswana,Kenya
2023-06-11,"""Scott Page Field",Hungary,Czech Republic,Hungary,Czech Republic
2023-06-11,Bayer Uerdingen Cricket Ground,Germany,Germany,Belgium,Germany
2023-06-13,"""Gymkhana Club Ground",Uganda,Uganda,Uganda,Kenya
2023-06-13,"""Gymkhana Club Ground",Botswana,Rwanda,Rwanda,Botswana
2023-06-14,"""Gymkhana Club Ground",Rwanda,Kenya,Rwanda,Kenya
2023-06-14,"""Gymkhana Club Ground",Uganda,Uganda,Uganda,Botswana
2023-06-15,"""Gymkhana Club Ground",Uganda,Uganda,Rwanda,Uganda
2023-06-15,"""Gymkhana Club Ground",Botswana,Botswana,Botswana,Kenya
2023-06-17,"""Gymkhana Club Ground",Botswana,Uganda,Botswana,Uganda
2023-06-17,"""Gymkhana Club Ground",Rwanda,Kenya,Rwanda,Kenya
2023-06-18,"""Gymkhana Club Ground",Kenya,Uganda,Kenya,Uganda
2023-06-18,"""Gymkhana Club Ground",Botswana,Rwanda,Botswana,Rwanda
2023-06-19,"""Gymkhana Club Ground",Uganda,Uganda,Uganda,Rwanda
2023-06-19,"""Gymkhana Club Ground",Botswana,Kenya,Botswana,Kenya
2023-06-21,"""Gymkhana Club Ground",Uganda,Uganda,Uganda,Kenya
2023-06-23,"""National Sports Academy",Serbia,Serbia,Serbia,Turkey
2023-06-23,"""National Sports Academy",Bulgaria,Bulgaria,Croatia,Bulgaria
2023-06-23,"""National Sports Academy",Serbia,Serbia,Bulgaria,Serbia
2023-06-24,"""National Sports Academy",Croatia,Serbia,Croatia,Serbia
2023-06-24,"""National Sports Academy",Bulgaria,Bulgaria,Turkey,Bulgaria
2023-06-24,"""National Sports Academy",Croatia,Turkey,Croatia,Turkey
2023-06-29,"""Sportpark Het Schootsveld",Germany,Germany,Austria,Germany
2023-06-30,"""Sportpark Het Schootsveld",Germany,Germany,Austria,Germany
2023-07-10,Marsa Sports Club,Malta,France,France,Malta
2023-07-10,Marsa Sports Club,Malta,Malta,Malta,France
2023-07-11,Marsa Sports Club,Luxembourg,Malta,Malta,Luxembourg
2023-07-11,Marsa Sports Club,France,France,France,Luxembourg
2023-07-12,Marsa Sports Club,France,France,France,Malta
2023-07-12,Marsa Sports Club,Luxembourg,France,Luxembourg,France
2023-07-12,Marsa Sports Club,Malta,Luxembourg,Malta,Luxembourg
2023-07-13,Marsa Sports Club,France,France,France,Romania
2023-07-13,Marsa Sports Club,Switzerland,Switzerland,Romania,Switzerland
2023-07-13,Marsa Sports Club,Malta,Malta,Luxembourg,Malta
2023-07-14,Marsa Sports Club,Switzerland,Switzerland,Luxembourg,Switzerland
2023-07-14,Marsa Sports Club,Malta,Malta,Malta,Romania
2023-07-14,Marsa Sports Club,France,Switzerland,France,Switzerland
2023-07-15,Marsa Sports Club,Romania,Luxembourg,Romania,Luxembourg
2023-07-15,Marsa Sports Club,Switzerland,Switzerland,Malta,Switzerland
2023-07-15,Marsa Sports Club,France,Luxembourg,France,Luxembourg
2023-07-16,Marsa Sports Club,Malta,Switzerland,Malta,Switzerland
2023-07-16,Marsa Sports Club,Romania,Romania,Luxembourg,Romania
2023-07-16,Marsa Sports Club,France,Malta,France,Malta
2023-07-20,"""Goldenacre",Germany,Scotland,Scotland,Germany
2023-07-20,"""Goldenacre",Italy,Ireland,Ireland,Italy
2023-07-20,"""Grange Cricket Club Ground",Jersey,Jersey,Austria,Jersey
2023-07-21,"""Grange Cricket Club Ground",Jersey,Scotland,Scotland,Jersey
2023-07-21,"""Goldenacre",Austria,Germany,Austria,Germany
2023-07-21,"""Grange Cricket Club Ground",Denmark,Ireland,Denmark,Ireland
2023-07-22,"""Amini Park",Japan,Japan,Japan,Philippines
2023-07-22,"""Amini Park",Vanuatu,Papua New Guinea,Vanuatu,Papua New Guinea
2023-07-23,"""Grange Cricket Club Ground",Austria,Ireland,Ireland,Austria
2023-07-23,"""Grange Cricket Club Ground",Denmark,Germany,Denmark,Germany
2023-07-23,"""Amini Park",Vanuatu,Japan,Japan,Vanuatu
2023-07-23,"""Goldenacre",Jersey,Italy,Italy,Jersey
2023-07-24,"""Grange Cricket Club Ground",Italy,Scotland,Scotland,Italy
2023-07-24,"""Goldenacre",Denmark,Denmark,Austria,Denmark
2023-07-24,"""Goldenacre",Ireland,Ireland,Jersey,Ireland
2023-07-25,"""Grange Cricket Club Ground",Denmark,Italy,Italy,Denmark
2023-07-25,"""Goldenacre",Austria,Scotland,Scotland,Austria
2023-07-25,"""Grange Cricket Club Ground",Germany,Jersey,Jersey,Germany
2023-07-25,"""Amini Park",Vanuatu,Philippines,Vanuatu,Philippines
2023-07-25,"""Amini Park",Japan,Papua New Guinea,Japan,Papua New Guinea
2023-07-26,"""Amini Park",Japan,Japan,Japan,Philippines
2023-07-26,"""Bayuemas Oval",China,Malaysia,China,Malaysia
2023-07-26,"""Amini Park",Papua New Guinea,Papua New Guinea,Papua New Guinea,Vanuatu
2023-07-26,"""Bayuemas Oval",Bhutan,Bhutan,Bhutan,Myanmar
2023-07-27,"""Grange Cricket Club Ground",Denmark,Scotland,Scotland,Denmark
2023-07-27,"""Bayuemas Oval",Bhutan,Malaysia,Malaysia,Bhutan
2023-07-27,"""Bayuemas Oval",Thailand,Thailand,China,Thailand
2023-07-28,"""Grange Cricket Club Ground",Ireland,Scotland,Scotland,Ireland
2023-07-28,"""Goldenacre",Denmark,Jersey,Jersey,Denmark
2023-07-28,"""Amini Park",Philippines,Papua New Guinea,Papua New Guinea,Philippines
2023-07-28,"""Grange Cricket Club Ground",Italy,Italy,Germany,Italy
2023-07-28,"""Bayuemas Oval",Myanmar,Thailand,Thailand,Myanmar
2023-07-28,"""Amini Park",Vanuatu,Vanuatu,Japan,Vanuatu
2023-07-29,"""Amini Park",Japan,Papua New Guinea,Japan,Papua New Guinea
2023-07-29,"""Amini Park",Philippines,Vanuatu,Philippines,Vanuatu
2023-07-30,"""Bayuemas Oval",Bhutan,Bhutan,Bhutan,China
2023-07-30,"""Bayuemas Oval",Myanmar,Malaysia,Malaysia,Myanmar
2023-07-31,"""Bayuemas Oval",Thailand,Thailand,Bhutan,Thailand
2023-07-31,"""Bayuemas Oval",China,China,Myanmar,China
2023-08-01,"""Bayuemas Oval",Malaysia,Malaysia,Thailand,Malaysia
2023-08-03,"""Brian Lara Stadium",West Indies,West Indies,West Indies,India
2023-08-05,"""GB Oval",Hungary,Hungary,Hungary,Croatia
2023-08-06,"""GB Oval",Croatia,Hungary,Croatia,Hungary
2023-08-06,"""Providence Stadium",India,West Indies,India,West Indies
2023-08-08,"""Providence Stadium",West Indies,India,West Indies,India
2023-08-12,"""Central Broward Regional Park Stadium Turf Ground",West Indies,India,West Indies,India
2023-08-13,"""Central Broward Regional Park Stadium Turf Ground",India,West Indies,India,West Indies
2023-08-14,"""Sportpark Het Schootsveld",Germany,Guernsey,Germany,Guernsey
2023-08-14,"""Sportpark Het Schootsveld",Germany,Germany,Guernsey,Germany
2023-08-15,"""Sportpark Het Schootsveld",Guernsey,Guernsey,Guernsey,Germany
2023-08-17,Dubai International Cricket Stadium,United Arab Emirates,New Zealand,New Zealand,United Arab Emirates
2023-08-18,"""Malahide",India,India,Ireland,India
2023-08-18,"""Moara Vlasiei Cricket Ground",Romania,Malta,Romania,Malta
2023-08-19,Dubai International Cricket Stadium,United Arab Emirates,United Arab Emirates,New Zealand,United Arab Emirates
2023-08-19,"""Moara Vlasiei Cricket Ground",Romania,Romania,Malta,Romania
2023-08-19,"""Moara Vlasiei Cricket Ground",Romania,Malta,Romania,Malta
2023-08-20,"""Gahanga International Cricket Stadium",Tanzania,Uganda,Tanzania,Uganda
2023-08-20,"""Moara Vlasiei Cricket Ground",Romania,Romania,Malta,Romania
2023-08-20,"""Moara Vlasiei Cricket Ground",Malta,Romania,Romania,Malta
2023-08-20,"""Malahide",Ireland,India,India,Ireland
2023-08-20,Dubai International Cricket Stadium,United Arab Emirates,New Zealand,New Zealand,United Arab Emirates
2023-08-20,"""Gahanga International Cricket Stadium",Uganda,Uganda,Uganda,Rwanda
2023-08-21,"""Gahanga International Cricket Stadium",Uganda,Tanzania,Uganda,Tanzania
2023-08-22,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Uganda,Rwanda
2023-08-22,"""Gahanga International Cricket Stadium",Tanzania,Tanzania,Rwanda,Tanzania
2023-08-24,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Uganda,Rwanda
2023-08-24,"""Gahanga International Cricket Stadium",Tanzania,Uganda,Uganda,Tanzania
2023-08-25,"""Gahanga International Cricket Stadium",Uganda,Uganda,Uganda,Tanzania
2023-08-25,"""Gahanga International Cricket Stadium",Tanzania,Tanzania,Rwanda,Tanzania
2023-08-27,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Rwanda,Uganda
2023-08-27,"""Gahanga International Cricket Stadium",Rwanda,Tanzania,Tanzania,Rwanda
2023-08-28,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Rwanda,Uganda
2023-08-28,"""Gahanga International Cricket Stadium",Uganda,Uganda,Uganda,Tanzania
2023-08-30,"""Gahanga International Cricket Stadium",Rwanda,Tanzania,Tanzania,Rwanda
2023-08-30,"""Riverside Ground",England,England,New Zealand,England
2023-08-30,"""Gahanga International Cricket Stadium",Tanzania,Uganda,Uganda,Tanzania
2023-08-30,"""Kingsmead",South Africa,Australia,Australia,South Africa
2023-08-31,"""Gahanga International Cricket Stadium",Tanzania,Tanzania,Tanzania,Rwanda
2023-08-31,"""Gahanga International Cricket Stadium",Rwanda,Uganda,Rwanda,Uganda
2023-09-01,"""Old Trafford",England,England,England,New Zealand
2023-09-01,"""Kingsmead",Australia,Australia,South Africa,Australia
2023-09-03,"""Kingsmead",South Africa,Australia,South Africa,Australia
2023-09-03,"""Edgbaston",New Zealand,New Zealand,New Zealand,England
2023-09-05,"""Trent Bridge",England,New Zealand,England,New Zealand
2023-09-15,"""West End Park International Cricket Stadium",Saudi Arabia,Kuwait,Saudi Arabia,Kuwait
2023-09-15,"""West End Park International Cricket Stadium",Bahrain,Qatar,Qatar,Bahrain
2023-09-16,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Bahrain,Kuwait
2023-09-18,"""West End Park International Cricket Stadium",Kuwait,Qatar,Qatar,Kuwait
2023-09-18,"""West End Park International Cricket Stadium",Saudi Arabia,Bahrain,Saudi Arabia,Bahrain
2023-09-19,"""Bayuemas Oval",Hong Kong,Malaysia,Malaysia,Hong Kong
2023-09-19,"""West End Park International Cricket Stadium",Oman,Bahrain,Bahrain,Oman
2023-09-20,"""Bayuemas Oval",Malaysia,Papua New Guinea,Malaysia,Papua New Guinea
2023-09-20,"""West End Park International Cricket Stadium",United Arab Emirates,United Arab Emirates,United Arab Emirates,Qatar
2023-09-22,"""West End Park International Cricket Stadium",Bahrain,Bahrain,Bahrain,United Arab Emirates
2023-09-22,"""West End Park International Cricket Stadium",Oman,Oman,Oman,Kuwait
2023-09-22,"""Bayuemas Oval",Malaysia,Malaysia,Malaysia,Hong Kong
2023-09-23,"""West End Park International Cricket Stadium",United Arab Emirates,Oman,United Arab Emirates,Oman
2023-09-23,"""Bayuemas Oval",Malaysia,Papua New Guinea,Malaysia,Papua New Guinea
2023-09-24,"""Bayuemas Oval",Papua New Guinea,Papua New Guinea,Hong Kong,Papua New Guinea
2023-09-27,Zhejiang University of Technology Cricket Field,Mongolia,Nepal,Nepal,Mongolia
2023-09-28,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Qatar,Kuwait
2023-09-29,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Maldives,Kuwait
2023-09-30,Europa Sports Complex,Gibraltar,Gibraltar,Estonia,Gibraltar
2023-09-30,"""White Hill Field",Panama,Cayman Islands,Panama,Cayman Islands
2023-09-30,"""White Hill Field",Canada,Bermuda,Bermuda,Canada
2023-09-30,Europa Sports Complex,Estonia,Estonia,Gibraltar,Estonia
2023-10-01,"""West End Park International Cricket Stadium",Kuwait,Saudi Arabia,Kuwait,Saudi Arabia
2023-10-01,"""White Hill Field",Panama,Bermuda,Panama,Bermuda
2023-10-01,"""White Hill Field",Canada,Canada,Canada,Cayman Islands
2023-10-01,"""West End Park International Cricket Stadium",Qatar,Qatar,Maldives,Qatar
2023-10-02,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Qatar,Kuwait
2023-10-02,"""West End Park International Cricket Stadium",Maldives,Saudi Arabia,Maldives,Saudi Arabia
2023-10-03,Zhejiang University of Technology Cricket Field,Hong Kong,Pakistan,Pakistan,Hong Kong
2023-10-03,"""National Stadium",Canada,Canada,Canada,Panama
2023-10-03,"""National Stadium",Bermuda,Bermuda,Bermuda,Cayman Islands
2023-10-03,Zhejiang University of Technology Cricket Field,India,India,India,Nepal
2023-10-04,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Maldives,Kuwait
2023-10-04,Zhejiang University of Technology Cricket Field,Bangladesh,Bangladesh,Bangladesh,Malaysia
2023-10-04,"""National Stadium",Bermuda,Bermuda,Panama,Bermuda
2023-10-04,"""Tafawa Balewa Square Cricket Oval",Nigeria,Nigeria,Nigeria,Rwanda
2023-10-04,"""Tafawa Balewa Square Cricket Oval",Ghana,Ghana,Sierra Leone,Ghana
2023-10-04,"""National Stadium",Canada,Canada,Canada,Cayman Islands
2023-10-05,Europa Sports Complex,Serbia,Gibraltar,Serbia,Gibraltar
2023-10-05,"""West End Park International Cricket Stadium",Kuwait,Kuwait,Saudi Arabia,Kuwait
2023-10-05,"""West End Park International Cricket Stadium",Maldives,Qatar,Qatar,Maldives
2023-10-05,"""Tafawa Balewa Square Cricket Oval",Sierra Leone,Nigeria,Nigeria,Sierra Leone
2023-10-05,Europa Sports Complex,Gibraltar,Gibraltar,Serbia,Gibraltar
2023-10-06,Zhejiang University of Technology Cricket Field,India,India,Bangladesh,India
2023-10-06,"""Tafawa Balewa Square Cricket Oval",Ghana,Nigeria,Nigeria,Ghana
2023-10-06,"""Tafawa Balewa Square Cricket Oval",Rwanda,Rwanda,Rwanda,Sierra Leone
2023-10-07,Zhejiang University of Technology Cricket Field,Bangladesh,Bangladesh,Pakistan,Bangladesh
2023-10-07,"""Tafawa Balewa Square Cricket Oval",Nigeria,Nigeria,Rwanda,Nigeria
2023-10-07,"""National Stadium",Canada,Canada,Canada,Bermuda
2023-10-08,"""Tafawa Balewa Square Cricket Oval",Rwanda,Rwanda,Rwanda,Ghana
2023-10-08,"""Tafawa Balewa Square Cricket Oval",Sierra Leone,Nigeria,Sierra Leone,Nigeria
2023-10-10,"""Tafawa Balewa Square Cricket Oval",Nigeria,Nigeria,Nigeria,Ghana
2023-10-10,"""Tafawa Balewa Square Cricket Oval",Sierra Leone,Sierra Leone,Sierra Leone,Rwanda
2023-10-11,"""Tafawa Balewa Square Cricket Oval",Nigeria,Nigeria,Ghana,Nigeria
2023-10-11,"""Tafawa Balewa Square Cricket Oval",Sierra Leone,Rwanda,Sierra Leone,Rwanda
2023-10-12,"""Tafawa Balewa Square Cricket Oval",Ghana,Rwanda,Ghana,Rwanda
2023-10-12,"""Tafawa Balewa Square Cricket Oval",Sierra Leone,Nigeria,Nigeria,Sierra Leone
2023-10-14,"""Tafawa Balewa Square Cricket Oval",Sierra Leone,Ghana,Ghana,Sierra Leone
2023-10-14,"""Tafawa Balewa Square Cricket Oval",Nigeria,Nigeria,Rwanda,Nigeria
2023-10-15,"""Tafawa Balewa Square Cricket Oval",Nigeria,Nigeria,Nigeria,Rwanda
2023-10-15,"""Tafawa Balewa Square Cricket Oval",Ghana,Sierra Leone,Ghana,Sierra Leone
2023-10-15,Europa Sports Complex,Luxembourg,Gibraltar,Gibraltar,Luxembourg
2023-10-15,Europa Sports Complex,Luxembourg,Luxembourg,Luxembourg,Gibraltar
2023-10-18,Mulpani Cricket Ground,Nepal,Nepal,United Arab Emirates,Nepal
2023-10-18,St Georges Quilmes,Chile,Mexico,Chile,Mexico
2023-10-19,Mulpani Cricket Ground,Nepal,Nepal,Hong Kong,Nepal
2023-10-19,St Georges Quilmes,Argentina,Argentina,Mexico,Argentina
2023-10-20,St Georges Quilmes,Chile,Argentina,Chile,Argentina
2023-10-21,Mulpani Cricket Ground,Nepal,Nepal,Nepal,Hong Kong
2023-10-22,Mulpani Cricket Ground,United Arab Emirates,United Arab Emirates,Hong Kong,United Arab Emirates
2023-10-23,Mulpani Cricket Ground,Nepal,Nepal,United Arab Emirates,Nepal
2023-10-24,"""Wanderers Cricket Ground",Zimbabwe,Namibia,Zimbabwe,Namibia
2023-10-25,Mulpani Cricket Ground,Hong Kong,Hong Kong,Hong Kong,United Arab Emirates
2023-10-25,"""Wanderers Cricket Ground",Zimbabwe,Zimbabwe,Namibia,Zimbabwe
2023-10-27,"""Tribhuvan University International Cricket Ground",United Arab Emirates,United Arab Emirates,Nepal,United Arab Emirates
2023-10-27,"""United Cricket Club Ground",Namibia,Zimbabwe,Namibia,Zimbabwe
2023-10-29,"""United Cricket Club Ground",Zimbabwe,Namibia,Zimbabwe,Namibia
2023-10-30,"""United Cricket Club Ground",Zimbabwe,Namibia,Namibia,Zimbabwe
2023-10-30,Mulpani Cricket Ground,United Arab Emirates,United Arab Emirates,Bahrain,United Arab Emirates
2023-10-30,"""Tribhuvan University International Cricket Ground",Oman,Oman,Oman,Malaysia
2023-10-30,Mulpani Cricket Ground,Kuwait,Hong Kong,Hong Kong,Kuwait
2023-10-30,"""Tribhuvan University International Cricket Ground",Singapore,Nepal,Singapore,Nepal
2023-10-31,"""Tribhuvan University International Cricket Ground",Singapore,Oman,Oman,Singapore
2023-10-31,Mulpani Cricket Ground,Hong Kong,Bahrain,Bahrain,Hong Kong
2023-10-31,"""Tribhuvan University International Cricket Ground",Malaysia,Nepal,Malaysia,Nepal
2023-10-31,Mulpani Cricket Ground,Kuwait,United Arab Emirates,Kuwait,United Arab Emirates
2023-11-02,Mulpani Cricket Ground,Kuwait,Kuwait,Bahrain,Kuwait
2023-11-02,"""Tribhuvan University International Cricket Ground",Malaysia,Malaysia,Malaysia,Singapore
2023-11-02,"""Tribhuvan University International Cricket Ground",Nepal,Oman,Oman,Nepal
2023-11-02,Mulpani Cricket Ground,Hong Kong,United Arab Emirates,United Arab Emirates,Hong Kong
2023-11-03,"""Tribhuvan University International Cricket Ground",Bahrain,Oman,Bahrain,Oman
2023-11-03,Mulpani Cricket Ground,United Arab Emirates,Nepal,United Arab Emirates,Nepal
2023-11-20,Udayana Cricket Ground,Cambodia,Indonesia,Cambodia,Indonesia
2023-11-20,Udayana Cricket Ground,Cambodia,Indonesia,Cambodia,Indonesia
2023-11-21,Udayana Cricket Ground,Cambodia,Indonesia,Indonesia,Cambodia
2023-11-21,Udayana Cricket Ground,Cambodia,Cambodia,Indonesia,Cambodia
2023-11-22,Udayana Cricket Ground,Cambodia,Cambodia,Indonesia,Cambodia
2023-11-22,"""Wanderers Cricket Ground",Uganda,Uganda,Tanzania,Uganda
2023-11-22,"""Wanderers Cricket Ground",Namibia,Namibia,Zimbabwe,Namibia
2023-11-22,"""United Cricket Club Ground",Rwanda,Kenya,Kenya,Rwanda
2023-11-23,"""United Cricket Club Ground",Zimbabwe,Zimbabwe,Tanzania,Zimbabwe
2023-11-23,"""United Cricket Club Ground",Kenya,Kenya,Nigeria,Kenya
2023-11-23,Udayana Cricket Ground,Indonesia,Indonesia,Cambodia,Indonesia
2023-11-23,"""Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",India,India,Australia,India
2023-11-24,"""Wanderers Cricket Ground",Namibia,Namibia,Uganda,Namibia
2023-11-25,"""Wanderers Cricket Ground",Tanzania,Kenya,Kenya,Tanzania
2023-11-25,"""Wanderers Cricket Ground",Rwanda,Namibia,Namibia,Rwanda
2023-11-26,"""United Cricket Club Ground",Tanzania,Nigeria,Tanzania,Nigeria
2023-11-26,"""United Cricket Club Ground",Uganda,Uganda,Zimbabwe,Uganda
2023-11-26,"""Greenfield International Stadium",Australia,India,India,Australia
2023-11-27,"""Wanderers Cricket Ground",Rwanda,Zimbabwe,Zimbabwe,Rwanda
2023-11-27,"""United Cricket Club Ground",Namibia,Namibia,Kenya,Namibia
2023-11-27,"""United Cricket Club Ground",Nigeria,Uganda,Nigeria,Uganda
2023-11-28,"""Barsapara Cricket Stadium",Australia,Australia,India,Australia
2023-11-28,"""Wanderers Cricket Ground",Tanzania,Namibia,Namibia,Tanzania
2023-11-29,"""United Cricket Club Ground",Nigeria,Zimbabwe,Nigeria,Zimbabwe
2023-11-29,"""Wanderers Cricket Ground",Rwanda,Tanzania,Tanzania,Rwanda
2023-11-29,"""Wanderers Cricket Ground",Uganda,Uganda,Uganda,Kenya
2023-11-30,"""United Cricket Club Ground",Kenya,Zimbabwe,Zimbabwe,Kenya
2023-11-30,"""Wanderers Cricket Ground",Uganda,Uganda,Rwanda,Uganda
2023-11-30,"""Wanderers Cricket Ground",Nigeria,Namibia,Nigeria,Namibia
2023-12-01,"""Shaheed Veer Narayan Singh International Stadium",Australia,India,India,Australia
2023-12-03,"""M Chinnaswamy Stadium",Australia,India,India,Australia
2023-12-07,Harare Sports Club,Zimbabwe,Zimbabwe,Ireland,Zimbabwe
2023-12-09,Harare Sports Club,Ireland,Ireland,Zimbabwe,Ireland
2023-12-10,Harare Sports Club,Ireland,Ireland,Zimbabwe,Ireland
2023-12-12,"""Kensington Oval",West Indies,West Indies,England,West Indies
2023-12-12,"""St George's Park",South Africa,South Africa,India,South Africa
2023-12-14,"""National Cricket Stadium",England,West Indies,West Indies,England
2023-12-14,"""The Wanderers Stadium",South Africa,India,India,South Africa
2023-12-16,"""National Cricket Stadium",England,England,West Indies,England
2023-12-19,"""Brian Lara Stadium",West Indies,England,England,West Indies
2023-12-21,"""Brian Lara Stadium",West Indies,West Indies,England,West Indies
2023-12-22,Udayana Cricket Ground,Indonesia,Philippines,Philippines,Indonesia
2023-12-23,Udayana Cricket Ground,Philippines,Indonesia,Indonesia,Philippines
2023-12-23,Udayana Cricket Ground,Indonesia,Indonesia,Philippines,Indonesia
2023-12-24,Udayana Cricket Ground,Philippines,Philippines,Indonesia,Philippines
2023-12-26,Udayana Cricket Ground,Philippines,Philippines,Indonesia,Philippines
2023-12-27,"""McLean Park",Bangladesh,Bangladesh,New Zealand,Bangladesh
2023-12-31,"""Bay Oval",New Zealand,New Zealand,Bangladesh,New Zealand
2024-01-12,"""Eden Park",Pakistan,New Zealand,New Zealand,Pakistan
2024-01-14,"""Seddon Park",Pakistan,New Zealand,New Zealand,Pakistan
2024-01-14,"""R Premadasa Stadium",Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka
2024-01-16,"""R Premadasa Stadium",Zimbabwe,Zimbabwe,Sri Lanka,Zimbabwe
2024-01-17,"""University Oval",Pakistan,New Zealand,New Zealand,Pakistan
2024-01-18,"""R Premadasa Stadium",Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka
2024-01-19,"""Hagley Oval",New Zealand,New Zealand,Pakistan,New Zealand
2024-01-21,"""Hagley Oval",Pakistan,Pakistan,Pakistan,New Zealand
2024-01-27,"""Terdthai Cricket Ground",Cambodia,Cambodia,Myanmar,Cambodia
2024-01-28,"""Terdthai Cricket Ground",Cambodia,Cambodia,Cambodia,China
2024-02-01,"""Terdthai Cricket Ground",Bhutan,Indonesia,Indonesia,Bhutan
2024-02-02,"""Terdthai Cricket Ground",Thailand,Japan,Japan,Thailand
2024-02-02,"""Terdthai Cricket Ground",Singapore,Singapore,Singapore,Maldives
2024-02-03,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Bhutan,Saudi Arabia
2024-02-03,"""Terdthai Cricket Ground",Indonesia,Cambodia,Indonesia,Cambodia
2024-02-04,"""Terdthai Cricket Ground",Singapore,Thailand,Singapore,Thailand
2024-02-04,"""Terdthai Cricket Ground",Japan,Japan,Japan,Maldives
2024-02-05,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Saudi Arabia,Indonesia
2024-02-06,"""Terdthai Cricket Ground",Japan,Singapore,Singapore,Japan
2024-02-06,"""Terdthai Cricket Ground",Maldives,Thailand,Maldives,Thailand
2024-02-07,"""Terdthai Cricket Ground",Maldives,Maldives,Maldives,Bhutan
2024-02-07,"""Terdthai Cricket Ground",Thailand,Thailand,Indonesia,Thailand
2024-02-09,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Japan,Saudi Arabia
2024-02-09,"""Bellerive Oval",West Indies,Australia,Australia,West Indies
2024-02-09,"""Terdthai Cricket Ground",Singapore,Cambodia,Singapore,Cambodia
2024-02-11,Adelaide Oval,West Indies,Australia,Australia,West Indies
2024-02-11,"""Terdthai Cricket Ground",Singapore,Singapore,Japan,Singapore
2024-02-11,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Cambodia,Saudi Arabia
2024-02-12,"""Terdthai Cricket Ground",Bhutan,Thailand,Bhutan,Thailand
2024-02-12,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Saudi Arabia,Maldives
2024-02-13,"""Terdthai Cricket Ground",Bhutan,Maldives,Bhutan,Maldives
2024-02-13,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Thailand,Saudi Arabia
2024-02-13,Perth Stadium,West Indies,West Indies,West Indies,Australia
2024-02-14,"""Mission Road Ground",Japan,Hong Kong,Japan,Hong Kong
