date,event,venue,toss_winner,toss_decision,winner,team1,team2
2021/10/26,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Pakistan,field,Pakistan,New Zealand,Pakistan
2021/10/27,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Bangladesh,bat,England,Bangladesh,England
2021/10/27,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Namibia,field,Namibia,Scotland,Namibia
2021/10/28,ICC Men's T20 World Cup,Dubai International Cricket Stadium,Australia,field,Australia,Sri Lanka,Australia
2021/10/29,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Bangladesh,field,West Indies,West Indies,Bangladesh
2021/10/30,ICC Men's T20 World Cup,Sharjah Cricket Stadium,South Africa,field,South Africa,Sri Lanka,South Africa
2021/10/30,ICC Men's T20 World Cup,Dubai International Cricket Stadium,England,field,England,Australia,England
2021/10/31,ICC Men's T20 World Cup,Dubai International Cricket Stadium,New Zealand,field,New Zealand,India,New Zealand
2021/11/01,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Sri Lanka,field,England,England,Sri Lanka
2021/11/02,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",South Africa,field,South Africa,Bangladesh,South Africa
2021/11/02,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Pakistan,bat,Pakistan,Pakistan,Namibia
2021/11/03,ICC Men's T20 World Cup,Dubai International Cricket Stadium,Scotland,field,New Zealand,New Zealand,Scotland
2021/11/04,ICC Men's T20 World Cup,Dubai International Cricket Stadium,Australia,field,Australia,Bangladesh,Australia
2021/11/04,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",West Indies,field,Sri Lanka,Sri Lanka,West Indies
2021/11/05,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Namibia,field,New Zealand,New Zealand,Namibia
2021/11/05,ICC Men's T20 World Cup,Dubai International Cricket Stadium,India,field,India,Scotland,India
2021/11/06,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Australia,field,Australia,West Indies,Australia
2021/11/06,ICC Men's T20 World Cup,Sharjah Cricket Stadium,England,field,South Africa,South Africa,England
2021/11/07,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Pakistan,bat,Pakistan,Pakistan,Scotland
2021/11/08,ICC Men's T20 World Cup,Dubai International Cricket Stadium,India,field,India,Namibia,India
2021/11/10,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",New Zealand,field,New Zealand,England,New Zealand
2021/11/11,ICC Men's T20 World Cup,Dubai International Cricket Stadium,Australia,field,Australia,Pakistan,Australia
2021/11/14,ICC Men's T20 World Cup,Dubai International Cricket Stadium,Australia,field,Australia,New Zealand,Australia
2022/10/16,ICC Men's T20 World Cup,"""GMHBA Stadium",Sri Lanka,field,Namibia,Namibia,Sri Lanka
2022/10/16,ICC Men's T20 World Cup,"""GMHBA Stadium",United Arab Emirates,bat,Netherlands,United Arab Emirates,Netherlands
2022/10/17,ICC Men's T20 World Cup,"""Bellerive Oval",West Indies,field,Scotland,Scotland,West Indies
2022/10/17,ICC Men's T20 World Cup,"""Bellerive Oval",Ireland,field,Zimbabwe,Zimbabwe,Ireland
2022/10/18,ICC Men's T20 World Cup,"""GMHBA Stadium",Namibia,bat,Netherlands,Namibia,Netherlands
2022/10/18,ICC Men's T20 World Cup,"""GMHBA Stadium",United Arab Emirates,field,Sri Lanka,Sri Lanka,United Arab Emirates
2022/10/19,ICC Men's T20 World Cup,"""Bellerive Oval",Scotland,bat,Ireland,Scotland,Ireland
2022/10/19,ICC Men's T20 World Cup,"""Bellerive Oval",West Indies,bat,West Indies,West Indies,Zimbabwe
2022/10/20,ICC Men's T20 World Cup,"""GMHBA Stadium",Sri Lanka,bat,Sri Lanka,Sri Lanka,Netherlands
2022/10/20,ICC Men's T20 World Cup,"""GMHBA Stadium",United Arab Emirates,bat,United Arab Emirates,United Arab Emirates,Namibia
2022/10/21,ICC Men's T20 World Cup,"""Bellerive Oval",West Indies,bat,Ireland,West Indies,Ireland
